INFO  - 2016-08-04 16:16:01.240; org.apache.solr.request.UnInvertedField; UnInverted multi-valued field {field=fileFormat,memSize=5630,tindexSize=43,time=0,phase1=0,nTerms=6,bigTerms=1,termInstances=12,uses=0}
INFO  - 2016-08-04 16:16:01.241; org.apache.solr.request.UnInvertedField; UnInverted multi-valued field {field=language,memSize=5734,tindexSize=46,time=0,phase1=0,nTerms=4,bigTerms=2,termInstances=4,uses=0}
INFO  - 2016-08-04 16:16:01.241; org.apache.solr.request.UnInvertedField; UnInverted multi-valued field {field=spatial,memSize=5636,tindexSize=46,time=0,phase1=0,nTerms=9,bigTerms=1,termInstances=23,uses=0}
INFO  - 2016-08-04 16:16:01.242; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&facet.field=discipline&facet.field=fileType&facet.field=fileFormat&facet.field=language&facet.field=spatial&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&facet=on&wt=json} hits=10 status=0 QTime=27 
INFO  - 2016-08-04 16:16:01.255; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json} hits=10 status=0 QTime=0 
INFO  - 2016-08-04 16:16:01.260; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=10&wt=json} hits=10 status=0 QTime=1 
INFO  - 2016-08-04 16:16:09.886; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=*:*&fl=*+score&start=0&fq=玉树州&fq=django_ct:(himalaya.category)&rows=10&wt=json} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:16:09.893; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(filedValue:(28)+AND+fieldId:(128))&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json} hits=2 status=0 QTime=1 
INFO  - 2016-08-04 16:16:09.898; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(filedValue:(28)+AND+fieldId:(128))&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=10&wt=json} hits=2 status=0 QTime=1 
INFO  - 2016-08-04 16:16:09.903; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=django_id:(56)&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=0 status=0 QTime=0 
INFO  - 2016-08-04 16:16:09.907; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=(django_id:(56)+OR+django_id:(51))&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=1 status=0 QTime=0 
INFO  - 2016-08-04 16:16:09.913; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=((django_id:(56)+OR+django_id:(51))+AND+subjecttype:(1))&facet.field=discipline&facet.field=fileType&facet.field=fileFormat&facet.field=language&facet.field=spatial&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json&facet=on} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:16:09.919; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=((django_id:(56)+OR+django_id:(51))+AND+subjecttype:(1))&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=1&wt=json} hits=1 status=0 QTime=1 
INFO  - 2016-08-04 16:16:09.922; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=((django_id:(56)+OR+django_id:(51))+AND+subjecttype:(1))&fl=*+score&start=0&fq=django_ct:(himalaya.filebaseinfo)&rows=10&wt=json} hits=1 status=0 QTime=0 
INFO  - 2016-08-04 16:19:25.927; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&facet.field=discipline&facet.field=fileType&facet.field=fileFormat&facet.field=language&facet.field=spatial&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&facet=on&wt=json} hits=10 status=0 QTime=1 
INFO  - 2016-08-04 16:19:25.937; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=1&wt=json} hits=10 status=0 QTime=1 
INFO  - 2016-08-04 16:19:25.941; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=subjecttype:(1)&fl=*+score&start=0&fq=django_ct:(himalaya.discipline+OR+himalaya.spacescope+OR+himalaya.category+OR+himalaya.filetype+OR+himalaya.format+OR+himalaya.fileextendinfo+OR+himalaya.language+OR+himalaya.filebaseinfo+OR+himalaya.subject)&rows=10&wt=json} hits=10 status=0 QTime=0 
INFO  - 2016-08-04 16:19:31.091; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select/ params={q=*:*&fl=*+score&start=0&fq=结点测试&fq=django_ct:(himalaya.category)&rows=10&wt=json} hits=2 status=0 QTime=1 
